Date,Value
2018-10-18,68.63
2018-10-19,69.16
2018-10-22,69.25
2018-10-23,66.49
2018-10-24,66.56
2018-10-25,67.25
2018-10-26,67.58
2018-10-29,67.0
2018-10-30,66.18
2018-10-31,65.31
2018-11-01,63.67
2018-11-02,63.12
2018-11-05,63.12
2018-11-06,62.16
2018-11-07,61.69
2018-11-08,60.71
2018-11-09,60.19
2018-11-12,59.85
2018-11-13,55.63
2018-11-14,56.16
2018-11-15,56.45
2018-11-16,56.49
2018-11-19,57.16
2018-11-20,53.39
2018-11-21,54.41
2018-11-26,51.46
2018-11-27,51.31
2018-11-28,50.06
2018-11-29,51.46
2018-11-30,50.78
2018-12-03,52.98
2018-12-04,53.21
2018-12-05,52.64
2018-12-06,51.54
2018-12-07,52.76
2018-12-10,51.07
2018-12-11,51.65
2018-12-12,51.04
2018-12-13,52.69
2018-12-14,51.26
2018-12-17,49.8
2018-12-18,46.12
2018-12-19,47.96
2018-12-20,45.64
2018-12-21,45.38
2018-12-26,46.04
2018-12-27,44.48
2018-12-28,45.15
2019-01-02,46.31
2019-01-03,46.92
2019-01-04,47.76
2019-01-07,48.27
2019-01-08,49.58
2019-01-09,52.19
2019-01-10,52.42
2019-01-11,51.44
2019-01-14,50.31
2019-01-15,51.8
2019-01-16,52.08
2019-01-17,51.83
2019-01-18,53.6
2019-01-21,51.83
2019-01-22,52.59
2019-01-23,52.44
2019-01-24,52.94
2019-01-25,53.53
2019-01-28,51.79
2019-01-29,53.07
2019-01-30,54.18
2019-01-31,53.84
2019-02-01,55.29
2019-02-04,54.57
2019-02-05,53.69
2019-02-06,53.94
2019-02-07,52.68
2019-02-08,52.75
2019-02-11,52.43
2019-02-12,53.14
2019-02-13,53.84
2019-02-14,54.4
2019-02-15,55.58
2019-02-18,55.58
2019-02-19,56.12
2019-02-20,56.9
2019-02-21,56.95
2019-02-22,57.01
2019-02-25,55.32
2019-02-26,55.4
2019-02-27,56.92
2019-02-28,57.21
2019-03-01,55.76
2019-03-04,56.6
2019-03-05,56.55
2019-03-06,56.22
2019-03-07,56.6
2019-03-08,55.77
2019-03-11,56.79
2019-03-12,56.89
2019-03-13,58.27
2019-03-14,58.59
2019-03-15,58.51
2019-03-18,59.09
2019-03-19,59.12
2019-03-20,60.12
2019-03-21,59.98
2019-03-22,58.87
2019-03-25,58.71
2019-03-26,59.87
2019-03-27,59.39
2019-03-28,59.29
2019-03-29,60.19
2019-04-01,61.59
2019-04-02,62.53
2019-04-03,62.46
2019-04-04,62.12
2019-04-05,63.1
2019-04-08,64.37
2019-04-09,64.05
2019-04-10,64.62
2019-04-11,63.61
2019-04-12,63.86
2019-04-15,63.43
2019-04-16,64.01
2019-04-17,63.74
2019-04-18,64.02
2019-04-22,65.66
2019-04-23,66.24
2019-04-24,65.96
2019-04-25,65.23
2019-04-26,63.29
2019-04-29,63.39
2019-04-30,63.83
2019-05-01,63.55
2019-05-02,61.75
2019-05-03,61.98
2019-05-06,62.3
2019-05-07,61.41
2019-05-08,62.13
